iter	Logloss
0	0.6879559147
1	0.6822253465
2	0.6763803492
3	0.6725032337
4	0.6674965443
5	0.6636345267
6	0.6592828237
7	0.6558489291
8	0.6526456778
9	0.64692343
10	0.6409830026
11	0.6378395326
12	0.6327329704
13	0.6259691551
14	0.6221500088
15	0.6185799314
16	0.6161087218
17	0.6123016916
18	0.6096394684
19	0.6068969274
20	0.6042300538
21	0.6004818718
22	0.5973957698
23	0.5941844232
24	0.5909338648
25	0.5891880205
26	0.5859632562
27	0.5835409126
28	0.5806475737
29	0.5784106994
30	0.5763198198
31	0.5735021336
32	0.5702473786
33	0.5680901498
34	0.5651107914
35	0.5625740138
36	0.5600756103
37	0.5584607726
38	0.5569023387
39	0.5552242207
40	0.5526953481
41	0.5506648607
42	0.5491280342
43	0.5471922857
44	0.5453598623
45	0.5440081122
46	0.5428718019
47	0.5409314661
48	0.5387785646
49	0.5375075876
50	0.5355039827
51	0.5336039589
52	0.5321048423
53	0.5297099426
54	0.5285775188
55	0.5273432192
56	0.5256689913
57	0.5243278163
58	0.5226363272
59	0.5206593141
60	0.5194974411
61	0.518459555
62	0.5170816261
63	0.5158924981
64	0.5148914264
65	0.5135404398
66	0.5120642489
67	0.5112766777
68	0.5103896188
69	0.5093741043
70	0.5084882546
71	0.5073670541
72	0.5068145495
73	0.5056209196
74	0.5043477206
75	0.5035393951
76	0.5027996623
77	0.5020242417
78	0.5012951651
79	0.4999489358
80	0.4986481382
81	0.4977367943
82	0.4964016022
83	0.4952592686
84	0.4944856995
85	0.4938065175
86	0.4923221494
87	0.4912326108
88	0.4904338072
89	0.4896769215
90	0.4890126716
91	0.4882771946
92	0.4872446848
93	0.4865294314
94	0.4858235453
95	0.4849527453
96	0.4840176113
97	0.482913673
98	0.4821508654
99	0.4814184632
100	0.4810021502
101	0.4805092913
102	0.4798683525
103	0.4793736637
104	0.4787362615
105	0.478179297
106	0.477352532
107	0.476421899
108	0.4759443529
109	0.4752496301
110	0.474592943
111	0.4740891575
112	0.4730239896
113	0.4724427247
114	0.4719844392
115	0.4717159594
116	0.4707522616
117	0.4702043347
118	0.4695839074
119	0.4692099863
120	0.4683960485
121	0.4680830519
122	0.4675616315
123	0.4671583449
124	0.4664017108
125	0.4658478561
126	0.4653765384
127	0.4645519492
128	0.4642094475
129	0.463682426
130	0.4630725067
131	0.4624591263
132	0.4619849294
133	0.4614537845
134	0.4611410642
135	0.4607023993
136	0.4601558846
137	0.4597254276
138	0.4592286688
139	0.4587246111
140	0.4584272243
141	0.4580125955
142	0.4574750191
143	0.4570676347
144	0.4566381263
145	0.4560027514
146	0.4555618984
147	0.4553170461
148	0.4549940138
149	0.454510074
150	0.454149145
151	0.4538562209
152	0.453462754
153	0.452898203
154	0.4520317466
155	0.4516005758
156	0.4511746775
157	0.4505829652
158	0.4501364809
159	0.4498852791
160	0.449433056
161	0.4488833132
162	0.4484012123
163	0.4480811457
164	0.4477625105
165	0.4475051557
166	0.4471120336
167	0.4467933564
168	0.4463472709
169	0.446097735
170	0.4456699226
171	0.4453366831
172	0.4450124758
173	0.4446340637
174	0.4442787523
175	0.4439254924
176	0.4435577412
177	0.4432599091
178	0.4427768903
179	0.442328752
180	0.4419722584
181	0.4416894627
182	0.4414060256
183	0.4408110832
184	0.4403936545
185	0.4401699941
186	0.4398990572
187	0.439738194
188	0.4394596626
189	0.4389571641
190	0.438678066
191	0.438281475
192	0.4380456858
193	0.4376315652
194	0.4373727652
195	0.4369463867
196	0.4366751264
197	0.4362360656
198	0.4358927838
199	0.4354852625
200	0.4351979084
201	0.4349411662
202	0.4346930584
203	0.4342934322
204	0.4340018995
205	0.4337941097
206	0.4333131543
207	0.4331048793
208	0.432838946
209	0.4326265992
210	0.4324763858
211	0.4322331853
212	0.4319771308
213	0.4317341298
214	0.4314373569
215	0.4311610011
216	0.4308245939
217	0.430351325
218	0.4300442654
219	0.4299425738
220	0.4295744008
221	0.4292945255
222	0.4289925526
223	0.4286037609
224	0.4283023796
225	0.427902042
226	0.427564415
227	0.4273051146
228	0.4270408117
229	0.4266624771
230	0.4260164456
231	0.42576925
232	0.4254095731
233	0.4250891112
234	0.4248190982
235	0.4246439671
236	0.4244338591
237	0.4242527357
238	0.423873887
239	0.4235927522
240	0.4233174289
241	0.4229872445
242	0.4226734699
243	0.4225050401
244	0.4222683857
245	0.422110966
246	0.4218945383
247	0.421613276
248	0.4213581874
249	0.4211029636
250	0.4209024813
251	0.4207643648
252	0.4203599055
253	0.4201182728
254	0.4199787091
255	0.4196377195
256	0.4195383531
257	0.4193658731
258	0.4192142469
259	0.4190064055
260	0.4188241811
261	0.418632087
262	0.418404254
263	0.4182202396
264	0.4179932767
265	0.417748682
266	0.417677578
267	0.4174577739
268	0.4171979093
269	0.4170715026
270	0.4169864077
271	0.4166855918
272	0.4164469642
273	0.4163179645
274	0.4159541349
275	0.4157667801
276	0.4154624617
277	0.4153892833
278	0.4152612077
279	0.4151082272
280	0.4148748239
