iter	Passed	Remaining
0	0	211
1	1	277
2	1	230
3	1	202
4	2	185
5	2	172
6	2	163
7	3	173
8	3	185
9	4	180
10	4	176
11	5	183
12	5	180
13	5	174
14	5	170
15	6	172
16	6	172
17	7	167
18	7	164
19	7	160
20	8	161
21	8	162
22	8	160
23	9	157
24	9	155
25	9	153
26	9	151
27	10	154
28	11	160
29	11	160
30	11	159
31	12	162
32	13	165
33	13	164
34	14	166
35	14	166
36	15	165
37	15	164
38	15	161
39	15	160
40	16	158
41	16	160
42	17	161
43	17	162
44	18	167
45	19	169
46	20	168
47	20	169
48	20	168
49	21	168
50	21	168
51	22	168
52	22	167
53	22	165
54	23	163
55	23	163
56	24	163
57	24	163
58	25	163
59	25	163
60	26	168
61	27	171
62	28	169
63	28	169
64	28	168
65	29	166
66	29	165
67	29	163
68	29	162
69	30	162
70	30	162
71	31	161
72	31	161
73	32	160
74	32	159
75	32	158
76	33	158
77	34	161
78	35	161
79	35	160
80	35	160
81	36	160
82	36	159
83	37	158
84	37	157
85	37	156
86	38	155
87	38	155
88	38	154
89	38	152
90	39	152
91	39	151
92	40	150
93	40	150
94	40	149
95	41	151
96	42	150
97	42	150
98	43	150
99	43	149
100	43	148
101	44	147
102	44	146
103	44	145
104	45	145
105	45	145
106	46	144
107	46	144
108	46	143
109	47	143
110	47	143
111	48	142
112	48	141
113	49	141
114	49	140
115	49	140
116	50	139
117	50	139
118	50	138
119	51	138
120	51	138
121	52	138
122	52	137
123	53	137
124	53	136
125	54	135
126	54	135
127	54	134
128	55	134
129	55	133
130	56	133
131	56	133
132	57	133
133	57	132
134	57	132
135	58	131
136	58	130
137	58	130
138	59	129
139	59	128
140	59	128
141	60	127
142	60	127
143	61	127
144	61	126
145	61	125
146	62	125
147	62	124
148	63	124
149	63	124
150	64	124
151	64	123
152	64	122
153	65	122
154	65	122
155	66	121
156	66	120
157	66	120
158	67	119
159	67	119
160	67	118
161	68	118
162	68	117
163	68	116
164	69	116
165	69	115
166	69	115
167	69	114
168	70	114
169	71	115
170	72	115
171	72	114
172	73	114
173	73	113
174	73	112
175	73	112
176	74	111
177	74	110
178	74	110
179	74	109
180	75	109
181	75	108
182	75	107
183	76	107
184	76	106
185	76	105
186	76	105
187	77	104
188	77	104
189	78	103
190	78	103
191	79	103
192	79	103
193	80	102
194	80	102
195	80	101
196	81	101
197	81	101
198	82	100
199	82	100
200	82	99
201	83	99
202	83	99
203	84	98
204	84	98
205	85	97
206	85	97
207	85	96
208	86	96
209	86	95
210	86	95
211	86	94
212	87	94
213	87	93
214	87	93
215	88	92
216	88	92
217	88	91
218	89	91
219	89	90
220	89	90
221	90	89
222	90	89
223	91	88
224	91	88
225	91	87
226	91	87
227	92	86
228	92	86
229	93	86
230	94	86
231	94	86
232	94	85
233	95	84
234	95	84
235	95	84
236	96	83
237	97	83
238	97	83
239	98	83
240	98	82
241	99	82
242	99	82
243	100	81
244	100	81
245	101	81
246	102	81
247	102	80
248	102	79
249	103	79
250	104	79
251	104	79
252	105	78
253	105	78
254	105	77
255	105	77
256	106	76
257	106	76
258	107	76
259	107	75
260	108	75
261	108	75
262	109	74
263	109	74
264	110	74
265	110	73
266	110	73
267	111	72
268	111	72
269	111	71
270	112	71
271	112	70
272	112	70
273	113	69
274	113	69
275	113	68
276	113	68
277	114	67
278	114	67
279	114	66
280	114	66
281	115	65
282	116	65
283	117	65
284	117	65
285	118	64
286	118	64
287	118	63
288	119	63
289	119	63
290	119	62
291	120	62
292	120	61
293	121	61
294	121	60
295	121	60
296	122	60
297	122	59
298	123	59
299	123	59
300	124	58
301	124	58
302	124	57
303	125	57
304	125	56
305	125	56
306	125	55
307	126	55
308	126	54
309	126	54
310	127	54
311	127	53
312	127	53
313	128	52
314	128	52
315	128	51
316	128	51
317	128	50
318	129	50
319	129	49
320	129	49
321	130	48
322	130	48
323	130	48
324	131	47
325	131	47
326	132	46
327	132	46
328	132	46
329	133	45
330	133	45
331	133	44
332	134	44
333	134	43
334	134	43
335	135	43
336	135	42
337	136	42
338	137	42
339	138	41
340	138	41
341	139	41
342	139	40
343	140	40
344	140	39
345	141	39
346	141	39
347	142	38
348	143	38
349	143	38
350	143	37
351	144	37
352	144	36
353	144	36
354	145	36
355	145	35
356	146	35
357	146	34
358	147	34
359	147	34
360	147	33
361	148	33
362	148	32
363	148	32
364	148	31
365	149	31
366	149	30
367	149	30
368	150	30
369	150	29
370	150	29
371	151	28
372	151	28
373	151	28
374	152	27
375	153	27
376	153	26
377	154	26
378	154	26
379	154	25
380	155	25
381	155	24
382	156	24
383	156	24
384	156	23
385	157	23
386	157	22
387	158	22
388	158	21
389	158	21
390	158	21
391	159	20
392	159	20
393	159	19
394	160	19
395	161	19
396	161	18
397	161	18
398	162	17
399	162	17
400	163	17
401	163	16
402	163	16
403	164	15
404	164	15
405	164	15
406	165	14
407	165	14
408	166	13
409	166	13
410	167	13
411	167	12
412	168	12
413	168	11
414	168	11
415	168	10
416	169	10
417	169	10
418	169	9
419	169	9
420	170	8
421	170	8
422	170	8
423	171	7
424	171	7
425	171	6
426	172	6
427	172	6
428	172	5
429	172	5
430	173	4
431	173	4
432	173	4
433	173	3
434	174	3
435	174	2
436	175	2
437	175	2
438	176	1
439	177	1
440	178	0
441	178	0
442	179	0
