var1,var2,cramers_v
estado_group,primary_device,0.23943194105565305
utm_group,primary_device,0.23772032417116268
primary_device,currentstage,0.13557918559174645
estado_group,utm_group,0.134759811254273
utm_group,currentstage,0.12075594895351686
estado_group,currentstage,0.0854865837937558
