model,roc_auc,pr_auc,f1,accuracy,kappa,sens,spec,brier
Lasso,0.8162955465587051,0.49865857103319033,0.5294117647058824,0.8372881355932204,0.4314622982413877,0.5625,0.8906882591093117,0.10646796077006677
Elastic Net,0.8159581646423764,0.49964347108051504,0.5294117647058824,0.8372881355932204,0.4314622982413877,0.5625,0.8906882591093117,0.10637621460879898
Ridge,0.8121626180836712,0.4921109004994017,0.5208333333333334,0.8440677966101695,0.4277159244264508,0.5208333333333334,0.9068825910931174,0.10670927145140242
GLM Stepwise,0.5,0.5813559322033899,0.2798833819241982,0.16271186440677965,0,1,0,0.5938038256437267
