penalty,mixture,.metric,.estimator,mean,n,std_err,.config,model,features,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size
0.002728333376486764,0.41538461538461535,mae,standard,0.25065423893936506,5,0.002135212550960672,Preprocessor1_Model16,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.002728333376486764,0.41538461538461535,rmse,standard,0.30599725935423205,5,0.0034180524506636327,Preprocessor1_Model16,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.9144819761699535e-9,0.43974358974358974,mae,standard,0.25108525259898523,5,0.0019303534963011886,Preprocessor1_Model17,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
1.9144819761699535e-9,0.43974358974358974,rmse,standard,0.30661668454417623,5,0.003228222699598872,Preprocessor1_Model17,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
6.614740641230146e-8,0.4641025641025641,mae,standard,0.2511137618201332,5,0.0019332538175583685,Preprocessor1_Model18,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
6.614740641230146e-8,0.4641025641025641,rmse,standard,0.30667064951289574,5,0.003230040870757796,Preprocessor1_Model18,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.09426684551178854,0.48846153846153845,mae,standard,0.24875161772985516,5,0.0026884976725569496,Preprocessor1_Model19,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
0.09426684551178854,0.48846153846153845,rmse,standard,0.29709990934438,5,0.0036144066514051188,Preprocessor1_Model19,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
2.2854638641349884e-6,0.5128205128205129,mae,standard,0.251167427172238,5,0.0019351169851547442,Preprocessor1_Model20,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
2.2854638641349884e-6,0.5128205128205129,rmse,standard,0.30676585456193156,5,0.003229590875229013,Preprocessor1_Model20,elastic_net,hybrid,NA,NA,NA,NA,NA,NA,NA
