var1,var2,spearman,abs_spearman
interaction_count,aula_event_count,0.9868964296006975,0.9868964296006975
interaction_count,total_session_min,0.8433236222763878,0.8433236222763878
aula_event_count,total_session_min,0.8291020703250916,0.8291020703250916
session_count,total_session_min,0.7726521106763606,0.7726521106763606
session_count,interaction_count,0.7544456835394261,0.7544456835394261
session_count,aula_event_count,0.7414821652650373,0.7414821652650373
interaction_count,ia_event_count,0.6624686900960944,0.6624686900960944
aula_event_count,ia_event_count,0.6083825881196316,0.6083825881196316
session_count,ia_event_count,0.5993469445269201,0.5993469445269201
ia_event_count,total_session_min,0.5944310220146446,0.5944310220146446
interaction_count,converted_within_window,0.5402068193740428,0.5402068193740428
aula_event_count,converted_within_window,0.5401163343645495,0.5401163343645495
ia_event_count,heavy_user_flag,0.4963979568959452,0.4963979568959452
interaction_count,heavy_user_flag,0.49460161660438084,0.49460161660438084
aula_event_count,heavy_user_flag,0.4882852453737102,0.4882852453737102
session_count,heavy_user_flag,0.46564279775125755,0.46564279775125755
total_session_min,heavy_user_flag,0.4625314820451404,0.4625314820451404
total_session_min,converted_within_window,0.4316782956861917,0.4316782956861917
session_count,converted_within_window,0.2905308101704816,0.2905308101704816
prova_event_count,ia_event_count,0.2680330392963184,0.2680330392963184
