country,iso,year,gdp,population,area,higher_ed_pct
Azerbaijan,AZE,2021,54825411764.7059,10137750.0,82650.0,16.2499160766602
Azerbaijan,AZE,2019,48174235294.1176,10024283.0,82654.0,15.7200002670288
Azerbaijan,AZE,2018,47112470051.7701,9939771.0,82654.0,15.7299995422363
Azerbaijan,AZE,2017,40866627351.9817,9854033.0,82662.0,15.7200002670288
Azerbaijan,AZE,2016,37866996882.9157,9757812.0,82670.0,15.7399997711182
Azerbaijan,AZE,2015,53076235354.746,9649341.0,82663.0,15.6899995803833
Azerbaijan,AZE,2014,75239785452.1022,9535079.0,82663.0,15.6800003051758
Azerbaijan,AZE,2013,74160560123.6902,9416801.0,82659.0,15.6599998474121
Azerbaijan,AZE,1999,4581248566.50158,7982750.0,82705.0,13.2799997329712
Burundi,BDI,2017,2723586962.84034,11506762.0,25680.0,0.910000026226044
Burundi,BDI,2014,2705783329.80483,10799785.0,25680.0,0.810000002384186
Belgium,BEL,2022,593614574325.878,11680210.0,30494.0,39.385196685791
Belgium,BEL,2021,598522422241.851,11586195.0,30494.0,38.5315399169922
Belgium,BEL,2020,529694473501.791,11538604.0,30494.0,36.6534843444824
Belgium,BEL,2019,536726344405.489,11488980.0,30494.0,35.2999992370605
Belgium,BEL,2018,542638913427.921,11427054.0,30493.0,35.2702827453613
Belgium,BEL,2017,500908767351.53,11375158.0,30333.0,34.689998626709
Belgium,BEL,2016,474271566739.729,11331422.0,30333.0,32.1699981689453
Belgium,BEL,2015,461044767544.531,11274196.0,30333.0,31.7099990844727
Belgium,BEL,2014,537987419164.351,11209057.0,30333.0,31.2600002288818
Belgium,BEL,2013,524097026598.55,11159407.0,30333.0,30.25
Belgium,BEL,2012,498414364944.961,11106932.0,30333.0,0.498984664678574
Belgium,BEL,2011,527196649048.639,11038264.0,30333.0,0.498997062444687
Belgium,BEL,2010,481556503720.001,10895586.0,30333.0,0.541976690292358
Benin,BEN,2022,17425405083.8797,13759501.0,112760.0,4.79155015945435
Benin,BEN,2021,17687623534.6665,13413417.0,112760.0,3.06135010719299
Benin,BEN,2019,14391686313.4641,12726755.0,112760.0,3.54480004310608
Benin,BEN,2018,14262408089.9261,12383347.0,112760.0,0.0
Benin,BEN,2017,12701655836.9467,12039780.0,112760.0,2.53311991691589
Burkina Faso,BFA,2022,18820218690.5948,22509038.0,273600.0,1.9884124994278
Burkina Faso,BFA,2021,19697516284.3787,21995243.0,273600.0,2.40341997146606
Burkina Faso,BFA,2019,16032813503.3707,20961952.0,273600.0,2.11959004402161
Burkina Faso,BFA,2018,15890066221.2882,20438288.0,273600.0,2.15000009536743
Burkina Faso,BFA,2014,13943016076.7436,18229461.0,273600.0,0.0
Bangladesh,BGD,2022,460131689083.083,169384897.0,130170.0,7.57236766815186
Bangladesh,BGD,2021,416271647911.014,167658854.0,130170.0,9.78999996185303
Bangladesh,BGD,2019,351231654603.692,164913055.0,130170.0,9.76000022888184
Bangladesh,BGD,2018,321362752441.78,163523103.0,130170.0,9.35999965667725
Bangladesh,BGD,2017,293732446624.596,162186147.0,130170.0,8.97999954223633
Bangladesh,BGD,2016,265224515675.034,160811932.0,130170.0,8.51000022888184
Bangladesh,BGD,2015,195146608978.131,159383179.0,130170.0,8.23999977111816
Bangladesh,BGD,2014,172886611653.786,157964929.0,130170.0,5.84999990463257
Bangladesh,BGD,2013,149998957434.186,156532141.0,130170.0,5.5
Bangladesh,BGD,2012,133310747603.483,155070101.0,130170.0,5.86999988555908
Bangladesh,BGD,2011,128607482310.357,153591076.0,130170.0,5.69000005722046
Bulgaria,BGR,2022,90509236929.2237,6465097.0,108560.0,26.3977317810059
Bulgaria,BGR,2021,84414122840.1687,6507301.0,108560.0,26.2697563171387
Bulgaria,BGR,2020,70550652466.6251,6550696.0,108560.0,26.0499992370605
Bulgaria,BGR,2019,68634004792.1,6616726.0,108560.0,25.1552085876465
Bulgaria,BGR,2018,66251582035.9412,6710798.0,108560.0,25.113618850708
Bulgaria,BGR,2017,59167647387.606,6803468.0,108560.0,24.7099990844727
Bulgaria,BGR,2016,53929397039.2106,6894139.0,108560.0,24.6299991607666
Bulgaria,BGR,2015,50765918159.1476,6984225.0,108560.0,24.4699993133545
Bulgaria,BGR,2014,57080897012.1077,7073572.0,108560.0,24.0599994659424
Bulgaria,BGR,2013,55819262374.9039,7160005.0,108560.0,22.9200000762939
Bulgaria,BGR,2012,54297052002.2338,7305888.0,108560.0,21.5100002288818
Bulgaria,BGR,2011,57681293006.9721,7348328.0,108560.0,20.8099994659424
Bulgaria,BGR,2010,50689051382.4361,7395599.0,108560.0,20.7199993133545
Bulgaria,BGR,2009,52023801230.12,7444443.0,108560.0,20.5300006866455
Bulgaria,BGR,2008,54480684188.4442,7492561.0,108610.0,20.1900005340576
Bulgaria,BGR,2007,44431257128.8618,7545338.0,108610.0,19.8199996948242
Bulgaria,BGR,2006,34380536495.6739,7601022.0,108630.0,19.5
Bulgaria,BGR,2001,14183446025.7389,8009142.0,110630.0,18.0499992370605
Bahrain,BHR,2022,46458191489.3617,1524693.0,790.0,29.7800006866455
Bahrain,BHR,2020,35837632978.7234,1472204.0,785.0,23.3299999237061
Bahrain,BHR,2018,39567978723.4043,1503091.0,778.0,21.6100006103516
Bahrain,BHR,2017,37204813829.7872,1501116.0,780.0,14.3400001525879
Bahrain,BHR,2016,33884680851.0638,1423726.0,779.0,14.2799997329712
Bahrain,BHR,2010,26805984042.5532,1228543.0,762.0,9.47999954223633
"Bahamas, The",BHS,2010,10095760000.0,367478.0,10010.0,15.2299995422363
"Bahamas, The",BHS,2000,8076470000.0,323835.0,10010.0,0.340000003576279
Bosnia and Herzegovina,BIH,2022,24534663636.1778,3204802.0,51200.0,12.289999961853
Bosnia and Herzegovina,BIH,2021,23672712242.2149,3244907.0,51200.0,11.7022619247437
Bosnia and Herzegovina,BIH,2020,20226036564.4129,3299349.0,51200.0,10.5900001525879
Bosnia and Herzegovina,BIH,2019,20482608755.379,3345533.0,51200.0,6.99687480926514
Bosnia and Herzegovina,BIH,2018,20484053868.9246,3387000.0,51200.0,7.75
Bosnia and Herzegovina,BIH,2017,18326373366.1105,3428682.0,51200.0,7.18639755249023
Bosnia and Herzegovina,BIH,2016,17116926327.6247,3473003.0,51200.0,8.38000011444092
Bosnia and Herzegovina,BIH,2015,16404348871.4437,3518541.0,51200.0,7.55000019073486
Bosnia and Herzegovina,BIH,2014,18558733564.4692,3564829.0,51200.0,7.82999992370605
Bosnia and Herzegovina,BIH,2011,18644233537.1093,3741798.0,51200.0,6.17000007629395
Bosnia and Herzegovina,BIH,2010,17176315803.7298,3811472.0,51200.0,5.73000001907349
Belarus,BLR,2019,64410170653.4569,9419758.0,202965.0,28.2999992370605
Belarus,BLR,2009,50873167326.0414,9504583.0,202898.0,21.9599990844727
Belize,BLZ,2021,2420550000.0,395346.0,22810.0,4.44977998733521
Belize,BLZ,2020,2042850000.0,390812.0,22810.0,7.88000011444092
Belize,BLZ,2019,2388300000.0,385829.0,22810.0,6.68530750274658
Belize,BLZ,2015,2193050000.0,356333.0,22810.0,2.56925010681152
Belize,BLZ,2010,1745700000.0,320245.0,22810.0,5.71999979019165
Bermuda,BMU,2016,6899911000.0,63449.0,54.0,31.1100006103516
Bermuda,BMU,2010,6634526000.0,63725.0,54.0,28.3299999237061
Bolivia,BOL,2022,44008282879.8842,12077154.0,1083300.0,16.893159866333
Bolivia,BOL,2021,40406111693.1983,11937360.0,1083300.0,16.2906856536865
Bolivia,BOL,2020,36629843806.0781,11816299.0,1083300.0,26.8199996948242
Bolivia,BOL,2019,40895322850.9407,11671386.0,1083300.0,24.7000007629395
Bolivia,BOL,2018,40287647930.5355,11508368.0,1083300.0,14.3088550567627
Bolivia,BOL,2017,37508642170.767,11344587.0,1083300.0,14.1513919830322
Bolivia,BOL,2016,33941126193.9219,11180020.0,1083300.0,13.4819030761719
Bolivia,BOL,2015,33000198248.9146,11014705.0,1083300.0,22.3299999237061
Bolivia,BOL,2014,32996188017.3661,10848888.0,1083300.0,12.9951934814453
Bolivia,BOL,2013,30659338885.6729,10682608.0,1083300.0,14.825252532959
Bolivia,BOL,2012,27084497481.9103,10515807.0,1083300.0,12.9347915649414
Bolivia,BOL,2011,23963164696.592,10348929.0,1083300.0,15.0740156173706
Brazil,BRA,2018,1916933898010.99,206107261.0,8358140.0,16.5400009155273
Brazil,BRA,2017,2063514977365.65,204703445.0,8358140.0,15.7299995422363
Brazil,BRA,2016,1795693482853.01,203218114.0,8358140.0,15.3500003814697
Barbados,BRB,2000,3059500000.0,262063.0,430.0,1.05999994277954
Brunei Darussalam,BRN,2022,16681536442.5498,455370.0,5270.0,17.5747013092041
Brunei Darussalam,BRN,2021,14006496614.3195,451721.0,5270.0,15.9185581207275
Brunei Darussalam,BRN,2020,12005799664.2691,447404.0,5270.0,15.4780359268188
Brunei Darussalam,BRN,2019,13469235348.2211,442680.0,5270.0,17.4602642059326
Brunei Darussalam,BRN,2018,13566908401.1864,437810.0,5270.0,14.3216934204102
Brunei Darussalam,BRN,2017,12128168046.7827,432772.0,5270.0,13.9772520065308
Brunei Darussalam,BRN,2014,17097797371.9718,416750.0,5270.0,14.8701610565186
Brunei Darussalam,BRN,2011,18524791070.6802,399389.0,5270.0,11.1099996566772
Bhutan,BTN,2017,2591358009.20276,754335.0,38144.0,10.1999998092651
Bhutan,BTN,2012,1973387227.96519,717279.0,38117.0,4.55000019073486
Botswana,BWA,2022,20321150598.0672,2439892.0,566730.0,9.51717185974121
Botswana,BWA,2021,18750182234.5317,2401441.0,566730.0,8.84055423736572
Botswana,BWA,2020,14960251610.8975,2365894.0,566730.0,8.33574199676514
Botswana,BWA,2019,16725908148.5481,2332083.0,566730.0,8.1895227432251
Central African Republic,CAF,2019,2221301351.43918,4944703.0,622980.0,1.81203997135162
Canada,CAN,2022,2190411080134.32,38935934.0,8788700.0,32.3500862121582
Canada,CAN,2021,2022378748423.23,38239864.0,8788700.0,29.3299999237061
Canada,CAN,2020,1655684730000.19,38028638.0,8965590.0,30.970832824707
Canada,CAN,2019,1743725183672.52,37618495.0,8965590.0,29.7712154388428
Canada,CAN,2018,1725329192783.02,37072620.0,8965590.0,28.5200099945068
Canada,CAN,2017,1649265644244.09,36545075.0,8965590.0,27.9425659179688
Canada,CAN,2016,1527994741907.43,36110803.0,8965590.0,25.75
Canada,CAN,2015,1556508816217.14,35704498.0,8965590.0,26.577808380127
Canada,CAN,2014,1805749878439.94,35434066.0,8965590.0,25.6870307922363
Canada,CAN,2013,1846597421834.98,35080992.0,8965590.0,25.3839149475098
Canada,CAN,2012,1828366481521.6,34713395.0,8965590.0,24.7599868774414
Canada,CAN,2011,1793326630174.52,34339221.0,8965590.0,24.0642337799072
Canada,CAN,2010,1617343367486.26,34005902.0,8965590.0,23.551887512207
Switzerland,CHE,2022,828508926958.393,8777088.0,39509.63,40.0153961181641
Switzerland,CHE,2021,815309330986.719,8704546.0,39509.63,40.1155204772949
Switzerland,CHE,2020,741999406005.627,8638167.0,39509.63,40.4104690551758
Switzerland,CHE,2019,721369112726.724,8575280.0,39509.63,39.5556106567383
Switzerland,CHE,2018,725568717468.001,8514329.0,39509.63,38.9846878051758
Switzerland,CHE,2017,695200834102.045,8451840.0,39509.63,37.8640937805176
Switzerland,CHE,2016,687895460902.713,8373338.0,39509.63,36.604320526123
Switzerland,CHE,2015,694118186379.628,8282396.0,39510.23,35.4598159790039
Switzerland,CHE,2014,726537809429.524,8188649.0,39510.829,34.0826568603516
Chile,CHL,2022,301226575540.242,19553036.0,743532.0,20.2825660705566
Chile,CHL,2021,315325547162.072,19456334.0,743532.0,19.6066036224365
Chile,CHL,2020,254042159309.311,19370624.0,743532.0,19.1351909637451
Chile,CHL,2019,278285058719.466,19197744.0,743532.0,15.9265537261963
Chile,CHL,2018,295857562991.709,18893191.0,743532.0,15.5733489990234
Chile,CHL,2017,276154259981.097,18558868.0,743532.0,14.6400003433228
Chile,CHL,2016,249344863928.438,18267221.0,743532.0,13.9364814758301
Chile,CHL,2015,242450355830.884,18047625.0,743532.0,13.1000003814697
Chile,CHL,2014,259560978224.359,17864195.0,743532.0,13.3998031616211
Chile,CHL,2013,277395018842.417,17687006.0,743532.0,11.7200002670288
Chile,CHL,2012,267024782486.855,17519119.0,743532.0,12.4730710983276
Chile,CHL,2011,251382573893.87,17351816.0,743532.0,10.3599996566772
Chile,CHL,2010,217051209238.534,17181464.0,743532.0,11.7690849304199
China,CHN,2020,14996414166715.1,1411100000.0,9388210.0,7.67999982833862
China,CHN,2010,6192564874453.29,1337705000.0,9388211.0,3.57999992370605
Cote d'Ivoire,CIV,2022,70922824824.0069,30395002.0,318000.0,4.76513671875
Cote d'Ivoire,CIV,2021,72794636649.4342,29639736.0,318000.0,4.98000001907349
Cote d'Ivoire,CIV,2019,60382894697.3557,28193009.0,318000.0,5.22612524032593
Cote d'Ivoire,CIV,2016,48407761036.8238,25989405.0,318000.0,3.45458006858826
Cote d'Ivoire,CIV,2013,42760235484.6093,23939775.0,318000.0,2.59874606132507
Cote d'Ivoire,CIV,2012,36302302877.2977,23467078.0,318000.0,6.2484974861145
Cameroon,CMR,2018,39955552189.795,24806383.0,472710.0,6.42238998413086
Cameroon,CMR,2014,36386544706.0806,22059893.0,472710.0,5.79577016830444
"Congo, Dem. Rep.",COD,2018,47568210009.8172,90047644.0,2267050.0,7.4141697883606
"Congo, Dem. Rep.",COD,2016,37134801555.3322,83956415.0,2267050.0,3.48000001907349
"Congo, Dem. Rep.",COD,2013,32679745048.4427,75789395.0,2267050.0,1.74000000953674
"Congo, Dem. Rep.",COD,2012,29306235285.2597,73254618.0,2267050.0,7.35328578948975
"Congo, Rep.",COG,2015,12434793867.3568,5097581.0,341500.0,7.82301998138428
Colombia,COL,2022,345632492851.448,51737944.0,1109500.0,16.20046043396
Colombia,COL,2020,270348342541.465,50629997.0,1109500.0,12.8500003814697
Colombia,COL,2019,323031701192.84,49907985.0,1109500.0,12.0699996948242
Colombia,COL,2018,334198218098.276,49024465.0,1109500.0,11.7600002288818
Colombia,COL,2016,282720100286.228,47437512.0,1109500.0,10.8999996185303
Colombia,COL,2015,293492370193.166,46969940.0,1109500.0,10.3000001907349
Colombia,COL,2014,381240864422.407,46565429.0,1109500.0,10.5100002288818
Colombia,COL,2013,382093697077.685,46151584.0,1109500.0,10.0799999237061
Colombia,COL,2012,370691143018.039,45715810.0,1109500.0,9.47000026702881
Colombia,COL,2011,334966134804.887,45259614.0,1109500.0,9.52000045776367
Colombia,COL,2010,286498534094.963,44777319.0,1109500.0,9.47000026702881
Colombia,COL,2009,232468663109.595,44271541.0,1109500.0,9.1899995803833
Colombia,COL,2008,242504150472.931,43758808.0,1109500.0,9.96000003814697
Colombia,COL,2007,206229540926.312,43235374.0,1109500.0,9.6899995803833
Comoros,COM,2022,1279542248.45017,834188.0,1861.0,14.056170463562
Comoros,COM,2021,1299039311.76025,818174.0,1861.0,3.31192517280579
Comoros,COM,2014,1149587623.99594,711503.0,1861.0,5.74592638015747
Cabo Verde,CPV,2015,1749857620.35329,512394.0,4030.0,6.92999982833862
Costa Rica,CRI,2020,62395610759.9798,5034320.0,51060.0,21.6100006103516
Costa Rica,CRI,2018,62420164991.5444,4957818.0,51060.0,21.3099994659424
Costa Rica,CRI,2016,58847019609.743,4866998.0,51060.0,20.6299991607666
Costa Rica,CRI,2015,56441920820.5538,4818038.0,51060.0,21.2999992370605
Costa Rica,CRI,2014,52016408854.212,4767119.0,51060.0,22.7900009155273
Cuba,CUB,2019,103427600000.0,11202846.0,103800.0,15.3287696838379
Cuba,CUB,2012,73141000000.0,11303175.0,106649.0,14.1800003051758
Cuba,CUB,2002,33590500000.0,11177418.0,106390.0,9.35999965667725
Curacao,CUW,2020,2534327592.49914,154947.0,444.0,30.1700000762939
Curacao,CUW,2018,3046364804.46927,159336.0,444.0,21.9363098144531
Cayman Islands,CYM,2015,4708167232.66893,61642.0,240.0,29.8600006103516
Cayman Islands,CYM,2014,4562853611.41445,60160.0,240.0,32.1599998474121
Cyprus,CYP,2022,30935566076.6788,1331370.0,9240.0,33.1645622253418
Cyprus,CYP,2021,30372642502.4897,1317309.0,9240.0,31.7849750518799
Cyprus,CYP,2020,25555093854.2968,1302247.0,9240.0,29.7999992370605
Cyprus,CYP,2019,26196667099.5303,1286671.0,9240.0,28.8715553283691
Cyprus,CYP,2018,25754001367.5448,1270737.0,9240.0,28.5599994659424
Cyprus,CYP,2017,22946570628.7576,1254275.0,9240.0,27.1771392822266
Cyprus,CYP,2016,21046462280.5979,1237112.0,9240.0,26.6200008392334
Cyprus,CYP,2015,19909278416.8575,1219502.0,9240.0,25.5499992370605
Cyprus,CYP,2014,23225918259.9824,1201801.0,9240.0,25.9699993133545
Cyprus,CYP,2013,23959712860.8331,1183895.0,9240.0,24.8899993896484
Czechia,CZE,2022,301831228325.556,10672118.0,77171.73,20.9734058380127
Czechia,CZE,2021,290972714482.313,10505772.0,77186.83,22.8479957580566
Czechia,CZE,2020,251109660602.536,10697858.0,77198.53,21.3851680755615
Czechia,CZE,2019,256794209028.77,10671870.0,77205.5,20.9099998474121
Czechia,CZE,2018,251992360762.236,10629928.0,77210.0,21.0019187927246
Czechia,CZE,2017,221563575696.217,10594438.0,77210.0,20.7299995422363
Czechia,CZE,2016,198160659303.939,10566332.0,77210.0,20.0799999237061
Czechia,CZE,2015,189107698561.919,10546059.0,77210.0,19.3400001525879
Czechia,CZE,2014,210911285077.683,10525347.0,77220.0,18.8299999237061
Czechia,CZE,2013,213024360541.119,10514272.0,77220.0,4.42498064041138
Czechia,CZE,2012,210363223087.728,10510785.0,77230.0,4.1296648979187
Czechia,CZE,2011,231429378717.312,10496088.0,77230.0,3.59428691864014
Czechia,CZE,2010,211168667286.27,10474410.0,77230.0,2.86714029312134
Germany,DEU,2022,4163596357879.39,83797985.0,349360.0,29.2060985565186
Germany,DEU,2021,4348297440387.53,83196078.0,349390.0,29.0407466888428
Germany,DEU,2020,3940142541354.1,83160871.0,349390.0,28.3500003814697
Germany,DEU,2019,3957208055215.68,83092962.0,349390.0,27.0112819671631
Germany,DEU,2018,4052008447223.53,82905782.0,349380.0,25.1499996185303
Germany,DEU,2017,3763092263752.95,82657002.0,349370.0,25.8552474975586
Germany,DEU,2016,3537784107980.55,82348669.0,349360.0,25.5799999237061
Germany,DEU,2015,3423568450957.03,81686611.0,348860.0,24.7399997711182
Germany,DEU,2014,3965800686309.79,80982500.0,348900.0,24.1800003051758
Germany,DEU,2013,3808086291482.36,80645605.0,348880.0,1.23633599281311
Germany,DEU,2012,3597896500945.31,80425823.0,348540.0,1.24101305007935
Germany,DEU,2011,3824828563521.41,80274983.0,348560.0,1.21879899501801
Germany,DEU,2010,3468154343000.01,81776930.0,348570.0,1.2921187877655
