id_candidato,arquivo,titulo_y,left,bottom,density_scale,bw_adjust
cand_001,cand_001.png,0.93,0.24,0.14,58.0,1.0
cand_002,cand_002.png,0.93,0.24,0.14,58.0,0.9
cand_003,cand_003.png,0.93,0.24,0.14,58.0,1.1
cand_004,cand_004.png,0.93,0.24,0.14,56.0,1.0
cand_005,cand_005.png,0.93,0.24,0.14,56.0,0.9
cand_006,cand_006.png,0.93,0.24,0.14,56.0,1.1
cand_007,cand_007.png,0.93,0.24,0.14,60.0,1.0
cand_008,cand_008.png,0.93,0.24,0.14,60.0,0.9
cand_009,cand_009.png,0.93,0.24,0.14,60.0,1.1
cand_010,cand_010.png,0.928,0.24,0.14,58.0,1.0
cand_011,cand_011.png,0.928,0.24,0.14,58.0,0.9
cand_012,cand_012.png,0.928,0.24,0.14,58.0,1.1
cand_013,cand_013.png,0.928,0.24,0.14,56.0,1.0
cand_014,cand_014.png,0.928,0.24,0.14,56.0,0.9
cand_015,cand_015.png,0.928,0.24,0.14,56.0,1.1
cand_016,cand_016.png,0.928,0.24,0.14,60.0,1.0
cand_017,cand_017.png,0.928,0.24,0.14,60.0,0.9
cand_018,cand_018.png,0.928,0.24,0.14,60.0,1.1
cand_019,cand_019.png,0.928,0.218,0.138,56.0,0.8
cand_020,cand_020.png,0.928,0.218,0.138,56.0,0.82
cand_021,cand_021.png,0.928,0.218,0.138,56.0,0.84
cand_022,cand_022.png,0.928,0.218,0.138,57.0,0.8
cand_023,cand_023.png,0.928,0.218,0.138,57.0,0.82
cand_024,cand_024.png,0.928,0.218,0.138,57.0,0.84
