country,iso,year,gdp_pc,population,area,higher_ed_pct,gdp
Kiribati,KIR,2020,1751.7823197053,126099.0,810.0,1.98977661132812,220897998.73251864
"Korea, Rep.",KOR,2022,32394.6833725203,51672569.0,97600.0,34.5359725952148,1673916511799.7078
Kuwait,KWT,2018,32067.9623689512,4323515.0,17820.0,11.1199998855591,138646316321.59604
Lao PDR,LAO,2022,2046.40440255621,7559007.0,230800.0,5.19384670257568,15468785203.75321
Lebanon,LBN,2019,8905.88005497437,5794594.0,10230.0,22.1418571472168,51605959131.274155
Liberia,LBR,2019,658.164180770507,5043721.0,96320.0,5.0644998550415,3319596500.000002
Sri Lanka,LKA,2022,3342.63650253855,22181000.0,61860.0,0.911603033542633,74143020262.80757
Lesotho,LSO,2019,1082.05706777516,2209405.0,30360.0,5.61074018478394,2390702295.8277774
Lithuania,LTU,2022,25085.784063499,2831639.0,62604.0,41.4149131774902,71033884499.78224
Luxembourg,LUX,2022,123719.658915996,653103.0,2574.46,42.3309173583984,80801680397.01373
Latvia,LVA,2022,20227.2307431581,1879383.0,62230.0,31.9501533508301,38014713595.7687
Moldova,MDA,2022,5744.29618434435,2528654.0,32890.0,20.3899993896484,14525337523.727077
Madagascar,MDG,2021,483.469463351371,29691083.0,581800.0,2.92739009857178,14354731964.331015
Maldives,MDV,2019,11740.2724029785,487731.0,300.0,10.9565267562866,5726094799.377107
Mexico,MEX,2020,8841.2707511328,126799054.0,1943950.0,17.1299991607666,1121064767401.5085
Marshall Islands,MHL,2021,6258.61193705127,41367.0,180.0,4.18941640853882,258899999.99999988
North Macedonia,MKD,2022,7606.2375253797,1831712.0,25220.0,19.8216209411621,13932436550.0883
Mali,MLI,2022,969.72220560562,23072640.0,1220190.0,3.81480407714844,22374051349.944454
Malta,MLT,2022,36224.2819955817,531113.0,320.0,22.6174163818359,19239187083.519386
Myanmar,MMR,2020,1490.21683548367,53016522.0,652670.0,12.3559694290161,79006113643.19037
Montenegro,MNE,2022,9990.20444616996,623591.0,13450.0,61.090518951416,6229801580.791572
Mongolia,MNG,2022,4993.51487463495,3433748.0,1557506.789,31.6441268920898,17146471713.748009
Mozambique,MOZ,2022,578.251663751351,32656246.0,786380.0,3.0377299785614,18883528581.3734
Mauritania,MRT,2019,1767.072710621,4467708.0,1030700.0,2.92197418212891,7894764885.823127
Mauritius,MUS,2021,9068.97300226707,1266334.0,1997.0,0.0,11484348857.852867
Malawi,MWI,2020,602.507478176106,19533888.0,94280.0,1.32095003128052,11769313597.8545
Malaysia,MYS,2022,11748.0919307944,34695493.0,328550.0,14.5600004196167,407605841348.2336
New Caledonia,NCL,2022,33516.363085906,287123.0,18280.0,19.5735034942627,9623318718.314589
Niger,NER,2022,609.745147661683,25311973.0,1266700.0,1.14498543739319,15433852714.493532
Nigeria,NGA,2022,2139.37478476974,223150896.0,910770.0,3.47727274894714,477403400101.1746
Nicaragua,NIC,2021,2138.38588469449,6644741.0,120340.0,20.2939605712891,14209020361.85075
Netherlands,NLD,2022,59123.318556487,17700982.0,33670.0,36.6276969909668,1046540797548.6423
Norway,NOR,2022,109269.520580298,5457127.0,364270.0,31.1733207702637,596297651035.7999
Nauru,NRU,2021,14989.6647450751,11709.0,20.0,1.56774914264679,175513984.50008434
New Zealand,NZL,2020,41850.92032802,5090200.0,263310.0,32.2799987792969,213029554653.6874
Oman,OMN,2022,23223.5829405935,4730226.0,309500.0,19.1100006103516,109852795838.75183
Pakistan,PAK,2021,1455.31922370186,239477801.0,770880.0,8.62528419494629,348516647445.1485
Panama,PAN,2022,17332.4360742988,4400773.0,74180.0,16.2066173553467,76276116700.00015
Philippines,PHL,2022,3548.06930572116,113964338.0,298170.0,18.075719833374,404353369604.63165
Palau,PLW,2020,14556.5872302158,17792.0,460.0,14.6928749084473,258990799.99999952
Papua New Guinea,PNG,2022,3102.28968594061,10203169.0,452860.0,3.13966274261475,31653185952.608967
Poland,POL,2022,18891.213529396,36821749.0,306090.0,28.645357131958,695607522884.8236
Portugal,PRT,2022,24620.519556875,10434332.0,91605.6,25.3610610961914,256898675068.9266
Paraguay,PRY,2020,5365.47220721191,6603739.0,397300.0,14.1899995803833,35432178068.18137
West Bank and Gaza,PSE,2021,3678.63565662194,4922749.0,6025.0,22.1371746063232,18109000000.0
Qatar,QAT,2022,88701.463352273,2657333.0,11490.0,30.3899993896484,235709325714.28568
Romania,ROU,2022,15557.8826247584,19048502.0,230080.0,15.2834615707397,296354358293.47565
Russian Federation,RUS,2021,12425.029296875,144746762.0,16376870.0,41.2200012207031,1798482758477.793
Rwanda,RWA,2022,975.469323979541,13651030.0,24670.0,4.46000003814697,13316161005.724432
Saudi Arabia,SAU,2022,38510.2276211037,32175224.0,2149690.0,31.3336486816406,1239075199999.9988
Sudan,SDN,2022,1046.24084472656,49383346.0,1868000.0,9.34699058532715,51666873634.46399
Senegal,SEN,2022,1574.0281059306,17651103.0,192530.0,4.90400886535645,27783332222.675934
Singapore,SGP,2022,90299.0694637269,5637022.0,718.0,36.189998626709,509017841146.55676
Sierra Leone,SLE,2019,844.049555179116,7731991.0,72180.0,1.95823001861572,6526183564.198929
El Salvador,SLV,2020,3997.19279583709,6234673.0,20720.0,8.43000030517578,24921190000.00002
San Marino,SMR,2022,54264.570495898,33755.0,60.0,18.3899993896484,1831700577.089037
Somalia,SOM,2022,573.128092472349,17801897.0,627340.0,4.26999998092651,10202767269.999231
Serbia,SRB,2022,10022.9688543402,6664449.0,84090.0,17.0843830108643,66797564758.3387
Sao Tome and Principe,STP,2019,1935.2931816596,213392.0,960.0,4.8479700088501,412976082.62070537
Suriname,SUR,2018,6665.74180472239,599513.0,160507.61,4.9513897895813,3996198866.5745344
Slovak Republic,SVK,2022,21334.6011006572,5431752.0,48080.0,25.8375110626221,115884262197.69695
Slovenia,SVN,2022,28373.8382265999,2112076.0,20136.4,26.0893592834473,59927702746.28421
Sweden,SWE,2022,55296.9371472535,10486941.0,407280.0,33.6940689086914,579895717343.9558
Eswatini,SWZ,2022,3889.65276959161,1218917.0,17200.0,6.40754985809326,4741163884.952296
Turks and Caicos Islands,TCA,2019,31780.5217068989,43166.0,950.0,11.7487096786499,1371837999.9999979
Chad,TCD,2019,893.336441643325,16685223.0,1259200.0,1.75650000572205,14905517742.845364
Togo,TGO,2022,898.758154410712,9089738.0,54390.0,5.88405132293701,8169476148.956917
Thailand,THA,2022,6909.35281815827,71735329.0,510890.0,17.3500003814697,495644697587.66064
Turkmenistan,TKM,2019,6648.0348960628,6803944.0,469930.0,13.8386697769165,45232857142.85711
Timor-Leste,TLS,2022,2343.24523350389,1369295.0,14870.0,1.26540040969849,3208593982.0107093
Tonga,TON,2021,4912.57966349119,105490.0,720.0,5.45926856994629,518228028.70168567
Trinidad and Tobago,TTO,2022,20874.37682915,1365805.0,5130.0,10.1399097442627,28510328245.137215
Tunisia,TUN,2022,3708.8481241036,12119334.0,155360.0,12.8028297424316,44948769171.28498
Turkiye,TUR,2022,10674.504157865,84979913.0,769630.0,20.9415740966797,907118434653.506
Tuvalu,TUV,2022,5911.32727055301,9992.0,30.0,6.05095529556274,59065982.08736567
Tanzania,TZA,2022,1207.85302734375,64711821.0,885800.0,2.31976008415222,78162368899.77686
Uganda,UGA,2021,882.791717442001,45910930.0,200520.0,4.43540859222412,40529788744.05949
Uruguay,URY,2022,20818.6146091144,3390913.0,175020.0,22.0100002288818,70594110920.03593
United States,USA,2022,77860.9112908848,334017321.0,9147420.0,37.6599998474121,26006892999999.992
Uzbekistan,UZB,2022,2578.66689394219,34938955.0,440652.0,16.8500003814697,90095926567.43596
Viet Nam,VNM,2022,4147.69777213621,99680655.0,313429.0,11.5200004577637,413445230668.5782
Vanuatu,VUT,2020,3042.98711598286,298858.0,12190.0,2.58072924613953,909421043.5084056
Samoa,WSM,2022,3869.46639492144,215261.0,2780.0,16.4844264984131,832945205.6371841
South Africa,ZAF,2022,6523.41097815853,62378410.0,1213090.0,11.4343910217285,406920004594.07385
Zambia,ZMB,2022,1447.12310138035,20152938.0,743390.0,2.71212387084961,29163782140.485905
Zimbabwe,ZWE,2022,2040.54658705395,16069056.0,386850.0,0.91387802362442,32789657377.978798
